user_id,text,sentiment,confidence,platform,date
1,هذا أفضل منتج استخدمته على الإطلاق!,positive,88.0,Twitter,2024-02-01
2,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,negative,88.0,Facebook,2024-02-02
3,التجربة كانت عادية، لا شيء مميز.,negative,88.0,Instagram,2024-02-03
4,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,positive,88.0,Amazon,2024-02-04
5,أسوأ تجربة مررت بها، لن أكررها أبدًا.,negative,88.0,YouTube,2024-02-05
6,الشحن كان سريعًا جدًا، والمنتج مطابق للوصف.,positive,88.0,Telegram,2024-02-06
7,الفيلم كان ممتعًا ولكن النهاية لم تكن جيدة.,negative,88.0,eBay,2024-02-07
8,الملابس ذات جودة رديئة، لا أنصح بشرائها.,negative,88.0,TripAdvisor,2024-02-08
9,الدعم الفني كان متعاونًا وسريع الاستجابة.,positive,88.0,Booking,2024-02-09
10,الألوان في الصورة لم تكن واضحة كما توقعت.,negative,88.0,Twitter,2024-02-10
11,التطبيق يتوقف عن العمل بشكل متكرر.,negative,88.0,Facebook,2024-02-11
12,المكان كان هادئًا ومناسبًا للاسترخاء.,positive,88.0,Instagram,2024-02-12
13,المكيف لا يعمل جيدًا، والحرارة مرتفعة جدًا.,negative,88.0,Amazon,2024-02-13
14,لم أكن متأكدًا من الجودة ولكنها كانت جيدة بالفعل.,neutral,72.0,YouTube,2024-02-14
15,كانت الرحلة مذهلة، كل شيء كان منظمًا بشكل رائع!,positive,88.0,Telegram,2024-02-15
16,الطعام كان سيئًا جدًا، لم أستطع أكله.,negative,88.0,eBay,2024-02-16
17,الخدمة كانت بطيئة بعض الشيء، لكنها ليست سيئة.,negative,88.0,TripAdvisor,2024-02-17
18,أحببت الهاتف الجديد، يعمل بسلاسة وكاميرته رائعة.,positive,88.0,Booking,2024-02-18
19,واجهت العديد من المشاكل مع هذا الجهاز.,negative,88.0,Twitter,2024-02-19
20,التجربة كانت مختلفة ولكنها ليست سيئة.,neutral,72.0,Facebook,2024-02-20
21,السيارة مريحة جدًا واقتصادية في الوقود.,positive,88.0,Instagram,2024-02-21
22,الكتاب كان مملًا ولم أستطع إنهاءه.,negative,88.0,Amazon,2024-02-22
23,كانت الواجهة صعبة الاستخدام ولكنني اعتدت عليها لاحقًا.,negative,88.0,YouTube,2024-02-23
24,المنتج فاق توقعاتي بكثير، رائع جدًا!,positive,88.0,Telegram,2024-02-24
25,لا أنصح بهذا المكان، الخدمة كانت سيئة.,negative,88.0,eBay,2024-02-25
26,كان الطقس جميلًا، استمتعنا بالمشي في الحديقة.,positive,88.0,TripAdvisor,2024-02-26
27,التطبيق لا يوفر جميع الميزات التي وعد بها.,negative,88.0,Booking,2024-02-27
28,الحقائب كانت جميلة ولكنها ليست متينة كفاية.,negative,88.0,Twitter,2024-02-28
29,الخدمة كانت ممتازة والموظفون ودودون جدًا.,positive,88.0,Facebook,2024-02-29
30,الكمبيوتر يتعطل باستمرار، تجربة سيئة.,negative,88.0,Instagram,2024-03-01
31,التصميم جميل لكن الأداء ليس كما توقعت.,negative,88.0,Amazon,2024-03-02
32,هذا أحد أفضل المطاعم التي زرتها في حياتي!,positive,88.0,YouTube,2024-03-03
33,لم يعمل الكود الترويجي كما هو متوقع.,negative,88.0,Telegram,2024-03-04
34,الأداء متوسط، لم يكن هناك شيء مميز.,negative,88.0,eBay,2024-03-05
35,التوصيل كان أسرع مما توقعت، رائع جدًا!,positive,88.0,TripAdvisor,2024-03-06
36,الهاتف يسخن بسرعة عند تشغيل الألعاب.,negative,88.0,Booking,2024-03-07
37,المقاعد كانت مريحة ولكن الطاولات صغيرة جدًا.,negative,88.0,Twitter,2024-03-08
38,الخدمة لا تصدق، لقد حصلت على كل ما طلبته بسرعة.,positive,88.0,Facebook,2024-03-09
39,البرنامج مليء بالأخطاء ولا يعمل بشكل جيد.,negative,88.0,Instagram,2024-03-10
40,السعر مرتفع بعض الشيء ولكنه يستحق.,neutral,72.0,Amazon,2024-03-11
41,المكان نظيف جدًا والطعام شهي.,positive,88.0,YouTube,2024-03-12
42,السماعات ضعيفة الصوت وغير مريحة.,negative,88.0,Telegram,2024-03-13
43,الجودة معقولة مقابل السعر المدفوع.,negative,88.0,eBay,2024-03-14
44,أفضل تجربة تسوق عبر الإنترنت مررت بها!,positive,88.0,TripAdvisor,2024-03-15
45,التجربة لم تكن جيدة، لا أوصي بها.,negative,88.0,Booking,2024-03-16
46,الكاميرا جيدة لكن تحتاج إلى بعض التحسينات.,negative,88.0,Twitter,2024-03-17
47,كل شيء كان مثاليًا، أشعر بالسعادة حقًا!,positive,88.0,Facebook,2024-03-18
48,لا أوصي بهذا المطعم، الطعام لم يكن طازجًا.,negative,88.0,Instagram,2024-03-19
49,السيارة جميلة ولكنها تحتاج إلى صيانة متكررة.,negative,88.0,Amazon,2024-03-20
50,هذا أفضل منتج استخدمته على الإطلاق!,positive,88.0,YouTube,2024-03-21
