text,label
ممتاز جدا . فندق رايق وهادئ يصلح حق الشباب والعوائل. المخدات بس لو يغرونها يكون احسن,Positive
فندقي المفضل . رائع جدا يستحق النجوم ويستحق زيارة اخرى.,Positive
أعشق هذه الأنواع من الكتب الحواديت و أعشق هذا الأسلوب. سارة درويش أبدعت و هذا الكتاب لن يكون آخر ما أقرأ لها,Positive
مذكرات صريحة ورائعة يرويها الكاتب بكلمات عربية ناعمة الصياغة وحلوة الجملة.. هذا أول كتاب اقرأه لجلال أمين وحتما لن يكون الأخير بإذن الله.,Positive
مع بهاء طاهر لا أجد كلمات تصف روايته .. فقط ما يليق ب بهاء أنه تجلي .. الروح تطمئن في حضور كلماته,Positive
يستحق السكن فيه وموجود مواقف سيارات في القبو . اهم شي فيه مواقف للسيارات وقريبه منه اغلب الخدمات من مطاعم.,Positive
ليست رواية عادية ابدا انما هي عاصفة تهز الاحاسيس وترتقي بمفهوم الحب والتضحية في زمن الحروب القاتلة,Positive
الرواية دي. لو اتعملت. فيلم سيتما. بطولة الزعيم. عادل امام. حتكسر الدنيا,Positive
يستحق التجربة حتى لو كان مقصدك دبي. . نظيف و المطعم على طراز حديث و الخدمة مدروسة ..,Positive
استثنائي. موقع الفندق بشكل عام ممتاز،،، وايضا الهدوء والنظافة وفخامة الديكور..,Positive
جيد. باب ومصاعد خاصة بالفندق.. عدم وجود مواقف والنت برسوم وسعة الحمام.,Positive
إذا اردت أن تقرأ.. فاقرأ القراءة المثمرة للمفكر الاسلامي عبد الكريم بكار. رائع ومفيد لأقصي حد,Positive
جيد جدا. الغرفه نضيفه وسريرها مريح الاستقبال رائع وبشوشين ويخدموك في اي شي مابيقصروا. الموقع بعيد شوي وزحمه,Positive
فندق رومنسي فندق جميل وفاخر ورومنسي الاطلالة عالبحر رااااااائعة خاصة في الاجنحة الخدمات في الغرف راقية المطاعم ايضا,Positive
كتاب يلفت النظر لاشياء تجدث من حولنا ولا نلاجظها. عقائد سياسات خطط ومذاهب.ألخ,Positive
كتاب جميل ممتع عبارة عن رسائل وصلت للكاتب يقوم بالرد عليها ..يستحق القراءة,Positive
يستحق الإقامة فيه مرة أخرى . النظافة على أعلى مستوى والشقة واسعة وقرب الموقع من البحر وأماكن التسوق.,Positive
ممتاز . فخامة المكان ، النظافة والهدوء والتعامل الراقي راااائع جدا ... لا شي,Positive
استثنائي. ممتاز بكل ما تحمله الكلمة من معنى. لا شيئ,Positive
