text,rating
حلووو بس اغلب التوصيلات تتاخر والحلو ان المطاعم الموجوده بقربك تظهر في البرنامج,positive
موقع وايد حلو بس يبيله اهتمام شوي بتوصيل و يكون في حرص,positive
موجودات يستاهل هذا التطبيق ١٠٠ نجمة",positive
سهل ومواكب ل عصرنا اتمنى له الاستمرار بهذا الشكل وأكثر ..,positive
"الصراحه انا من مستخدمي طلباتي من الامارات العربية المتحده بشكل مستمر يستاهل 
5000000 نجمه اهم شي المصداقية والوضوح وموجدين في هلبرنامج رائعين جدا",positive
مميز لتشكيلة المطاعم وفي اوقات الواحد بيكون جيعان اوعنده ضيوف ومافي احد يجيب بيخدمنا شكرا برنامج طلبات,positive
تطبيق جدا جميل طلبت منه تقريبا 5 مرات والطلب ما يتأخر ويجي كامل وحار وانا من اهل جدة طبعا,positive
برنامج جميل جدا .. يجعل مجموعة كبيرة جدا من المطاعم بين يديك,positive
التحديث الجديد جميل جدا بحيث انك تستطيع الاختيار واريحيه... شكرا,positive
جربت غيره و فضلته لعدة أسباب تطبيق مرتب وسهل و دقة توقيت .. بالتوفيق,positive
يمكن انا من اول الناس الي اشتغلت على هالبرنامج صدقا صدقا برنامج ولا احسن ولا أفضل بالسرعة باقي عليه يضيف شوية مطاعم ✌✌,positive
ممتاز ورائع برنامج يكفيك عن كل شيء اطلب وانت مرتاح مهمتهم تنتهي عند تنفيذ طلبك شكراً طلباتي وفرتوا علينا الوقت والجهد محمدالرشيدي بوعبدالله,positive
تطبيق ممتاز جدا ومفيد.. اتمنى إضافة المزيد من محلات التسوق بالإضافة للمطاعم في ولاية صور / سلطنة عمان,positive
اكثر من ممتاز ويعطيكم العافيه واتمنى يكون فيه تنبيه عالمطاعم من ناحية وقت التوصيل واللتزام فيه,positive
جيد جدان ويسعاد عطيت اربع نجوم الانه خدمت توصيل تطول ولاكن لو حلو مشكله عطيه اربع نجوم,positive
خدمتهم مرره حلوة و مشكورين ،، و اهم شي السرعه بالتوصل,positive
تطبيق سهل الاستخدام، الدفع نقدي و اون لاين، طلبات العميل الخاصة تؤخذ بعين الاعتبار، جميل جداً 👌,positive
سريع التوصيل واشكر امه والله ياكنت جيعان وصلني الطلب مثل ماابي شكر,positive
رائع جدا جدا جدا جدا جدا والتوصيل سريع وخدمه التوصيل كويسه مابيتاخرو ع الطلب,positive
ممتاز جدا وشركه عالميه وكل منتجاتها جوده عاليه واصليه واسعار جميله,positive
التطبيق جدا روعه سهل في طلب الطلب وسرعة انجاب الطلب سريعه وكل التوفيق لمن ساهم في عمل هذا التطبيق,positive
احلى برنامج طلبات سريعين واحب التقيمات واحب العروض واحب سرعة الرد والتطوير ❤️‍🔥💖🤩🥰💝,positive
الموقع جداااا جمييل جداا مافي احسن منه و سريعين في التوصيل,positive
التطبيق ممتاز ممتاز ممتاز في الكويت ولكن باقي الدول لا اعلم,positive
تطبيق مفيد ورائع لطلب الوجبات من المطاعم.. في الكويت مجرب ومضمون 👍,positive
رائع ولكن يا ليت كان في مصر اتمنى ان تصل تلك الرسالة للمطورين للبرنامج,positive
ممتاز جدا للطلبات اتمنى ارسال كودات خصم للمشترين بشكل مستمر,positive
لانة رائع جدا جدا جدا جدا جدا  أعجبني جدا جدا جدا جدا جدا,positive
انا وعيلتي طلبنا كم مرة مريح وموثوق فيه بس على التوصيل 5 ريال بس شئ جمييييييل,positive
قدمتم تقدما رائع ولاكن نريد عروضا أقوى وتخفيضات ساحقه ولو كانت مسابقات وسحب كوبونات افضل,positive
شغل مرررتب وافضله على كثير من التطبيقات المنافسه بسبب اشتماله على الكثير من المطاعم,positive
"برنامج روعه وجيد جدا وطلابات سريعه واكلات من كل بلد والطعام بشهي وزاكي كثير 
وشكرا لكم...... 😍😍😍😍😍😇😇😍😍😍😍",positive
تطبيق من أفضل التطبيقات وبل الوحيد والأفضل بالتوصيل للطعام تطبيق اكثر من رائع مصداقية وشفافية واتمنى كل تقدم والازدهار لهذا التطبيق وشكرا,positive
أفضل تطبيق استخدمته للتوصيل.. رغم اني تقريبا جربت جميع التطبيقات المشابهة.. لكن يبقى طلبات تطبيق مميز وعلامة فارقة لن تتكرر رغم التقليد,positive
ما شاء الله تطبيق ممتاز وصادق وانصح الجميع بتحميله ومتميز بسرعة التوصيل ورخص الثمن وانطيه 1000 نجمة ❤️❤️❤️🙏,positive
صراحه ينقذني لما أحتار بالاكل وايد مفيد هالتطبيق وفر علينا وايد,positive
الباص ممتاز والسائق منتهى الأدب ونحن متشكرين جدا على حسن المعاملة,positive
الموقع ممتاز انصح بتحميله لان وفر علينا مشقة البحث عن المطعم والطعام المناسب دون الحاجة للجوء الى قائمات الطعام الورقية,positive
الحقيقة التطبيق ممتاز وواضح ان وراءه ناس راقية جدا ولها فكر رائع,positive
ماشاءلله حتى يوصلولك الين بيتك بس ارسل الوكيشن وبرنامج حلوو قايته¤ شباب نزلوه ¤,positive
