user_id,text,platform,date
1,هاذا أفصل منتج استخدمته على الإطلاخ!,Twitter,2024-02-01
2,لم يعجبي هاذا الهاتف، بطاريته ضعيفه جدا.,Facebook,2024-02-02
3,التجربة كانت عاديا، لا شئي مميز.,Instagram,2024-02-03
4,الخدمة في المطعم كانت رائعا جدًا، سأعود مراه أخرى!,Amazon,2024-02-04
5,أسوء تجربه مررت بيها، لن أكررها ابداً.,YouTube,2024-02-05
6,الشحان كان سريعا جذا، والمنتق متبق للوصف.,Telegram,2024-02-06
7,الفيلم كان ممتعن ولاكن النهايه لم تكن جيده.,eBay,2024-02-07
8,الملابس دات جوذه رديئه، لا أنصع بشراها.,TripAdvisor,2024-02-08
9,الدعم الفنى كان متاون وسريع الأستجابه.,Booking,2024-02-09
10,الألوان في السورة لم تكن واضحه كما توقعت.,Twitter,2024-02-10
11,التطبيب يتوقف عن العمل بيشكل متكرر.,Facebook,2024-02-11
12,المكان كان هاديا ومناسب لي الاسترخاء.,Instagram,2024-02-12
13,المكيف لا يعمل جيدا، والحراره مرتفعة جذا.,Amazon,2024-02-13
14,لم أكن متئكد من الجودة ولكنها كانت جيدا بالفع.,YouTube,2024-02-14
15,كانت الرحله مذهلا، كل شئ كان منضم بشكل رائع!,Telegram,2024-02-15
16,الطعام كان سيء جذا، لم استطيع اكله.,eBay,2024-02-16
17,الخدمه كانت بطيعا بعض الشي، لكنها ليست سيئا.,TripAdvisor,2024-02-17
18,أحببت الهتف الجديد، يعمل بسلاسه وكمرته رائعا.,Booking,2024-02-18
19,وجت العديد من المشكال مع هذا الجهاذ.,Twitter,2024-02-19
20,التجربه كانت مخلتفه ولكنها ليست سيء.,Facebook,2024-02-20
21,السياره مريحه جذا وإقتصاديه في الوقود.,Instagram,2024-02-21
22,الكتاب كان ممل ولم استطيع انهاه.,Amazon,2024-02-22
23,كانت الواجه صعب الاستخدام ولكنني اعتد عليها لاحقا.,YouTube,2024-02-23
24,المنتج فاج تقعاتي بكثير، رائع جذا!,Telegram,2024-02-24
25,لا أنصح بهذا المكان، الخدمه كانت سيء.,eBay,2024-02-25
26,كان الطقس جميل، استمعت بالمشي في الحديقة.,TripAdvisor,2024-02-26
27,التطبيق لا يوفر جميع المميزات الي وعد بها.,Booking,2024-02-27
28,الحقائق كانت جميله ولكنها ليست متينه كفاية.,Twitter,2024-02-28
29,الخدمه كانت ممتازه والموظفين ودودون جذا.,Facebook,2024-02-29
30,الكمبيوتر يتعطل ب استمرار، تجريبة سيء.,Instagram,2024-03-01
31,التصيم جميل لاكن الأداء لييس كما توقعت.,Amazon,2024-03-02
32,هاذا أحد أفظل المطاعم التي زرتها ف حياتي!,YouTube,2024-03-03
33,لم يعمل الكود التروحي كما هوا متوقع.,Telegram,2024-03-04
34,الأدأء متوسظ، لم يكن هناك شي مميز.,eBay,2024-03-05
35,التوصيل كأن أسرع ممآ توقعت، راائع جداً!!!,TripAdvisor,2024-03-06
36,الهتف يسخن بسرعه عند تشغيل الألعب.,Booking,2024-03-07
37,المقاععد كانت مريحه ولكن الطوالات صغيره جدا.,Twitter,2024-03-08
38,الخدمه لاتصدق، لقد حصلت علئ كل ما طلبته بسسرعه.,Facebook,2024-03-09
39,البنرامج مليئ بلأخطاء ولا يعمل بششكل جيد.,Instagram,2024-03-10
