user_id,text,platform,date
1,دعم العملاء كان ممتازًا وسريع الاستجابة.,Facebook,2024-01-01
2,أحببت جودة التصميم، تستحق كل قرش!,Amazon,2024-01-02
3,هذا أفضل منتج استخدمته على الإطلاق!,Facebook,2024-01-03
4,هذا أفضل منتج استخدمته على الإطلاق!,Amazon,2024-01-04
5,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,Twitter,2024-01-05
6,أسوأ تجربة مررت بها، لن أكررها أبدًا.,YouTube,2024-01-06
7,التجربة كانت عادية، لا شيء مميز.,Amazon,2024-01-07
8,أسوأ تجربة مررت بها، لن أكررها أبدًا.,YouTube,2024-01-08
9,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,YouTube,2024-01-09
10,هذا أفضل منتج استخدمته على الإطلاق!,Twitter,2024-01-10
11,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Amazon,2024-01-11
12,أسوأ تجربة مررت بها، لن أكررها أبدًا.,YouTube,2024-01-12
13,دعم العملاء كان ممتازًا وسريع الاستجابة.,Facebook,2024-01-13
14,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Amazon,2024-01-14
15,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Instagram,2024-01-15
16,دعم العملاء كان ممتازًا وسريع الاستجابة.,Amazon,2024-01-16
17,أحببت جودة التصميم، تستحق كل قرش!,Amazon,2024-01-17
18,التجربة كانت عادية، لا شيء مميز.,Facebook,2024-01-18
19,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Facebook,2024-01-19
20,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,Twitter,2024-01-20
21,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Instagram,2024-01-21
22,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,Instagram,2024-01-22
23,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,Facebook,2024-01-23
24,هذا أفضل منتج استخدمته على الإطلاق!,Amazon,2024-01-24
25,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Facebook,2024-01-25
26,أسوأ تجربة مررت بها، لن أكررها أبدًا.,YouTube,2024-01-26
27,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,YouTube,2024-01-27
28,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Twitter,2024-01-28
29,دعم العملاء كان ممتازًا وسريع الاستجابة.,YouTube,2024-01-29
30,التجربة كانت عادية، لا شيء مميز.,Amazon,2024-01-30
31,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Twitter,2024-01-31
32,أحببت جودة التصميم، تستحق كل قرش!,Facebook,2024-02-01
33,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Facebook,2024-02-02
34,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Twitter,2024-02-03
35,دعم العملاء كان ممتازًا وسريع الاستجابة.,Instagram,2024-02-04
36,دعم العملاء كان ممتازًا وسريع الاستجابة.,YouTube,2024-02-05
37,التوصيل كان سريعًا، ولكن المنتج لم يكن كما توقعت.,YouTube,2024-02-06
38,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,YouTube,2024-02-07
39,أحببت جودة التصميم، تستحق كل قرش!,Facebook,2024-02-08
40,أحببت جودة التصميم، تستحق كل قرش!,YouTube,2024-02-09
41,دعم العملاء كان ممتازًا وسريع الاستجابة.,Facebook,2024-02-10
42,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Instagram,2024-02-11
43,هذا أفضل منتج استخدمته على الإطلاق!,YouTube,2024-02-12
44,دعم العملاء كان ممتازًا وسريع الاستجابة.,Facebook,2024-02-13
45,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Amazon,2024-02-14
46,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Instagram,2024-02-15
47,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Facebook,2024-02-16
48,هذا أفضل منتج استخدمته على الإطلاق!,Twitter,2024-02-17
49,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Amazon,2024-02-18
50,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Instagram,2024-02-19
51,هذا أفضل منتج استخدمته على الإطلاق!,YouTube,2024-02-20
52,هذا أفضل منتج استخدمته على الإطلاق!,YouTube,2024-02-21
53,التوصيل كان سريعًا، ولكن المنتج لم يكن كما توقعت.,Facebook,2024-02-22
54,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Facebook,2024-02-23
55,دعم العملاء كان ممتازًا وسريع الاستجابة.,YouTube,2024-02-24
56,أحببت جودة التصميم، تستحق كل قرش!,Twitter,2024-02-25
57,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Facebook,2024-02-26
58,هذا أفضل منتج استخدمته على الإطلاق!,Twitter,2024-02-27
59,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Facebook,2024-02-28
60,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Facebook,2024-02-29
61,دعم العملاء كان ممتازًا وسريع الاستجابة.,YouTube,2024-03-01
62,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,YouTube,2024-03-02
63,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Instagram,2024-03-03
64,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Facebook,2024-03-04
65,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Twitter,2024-03-05
66,هذا أفضل منتج استخدمته على الإطلاق!,YouTube,2024-03-06
67,هذا أفضل منتج استخدمته على الإطلاق!,YouTube,2024-03-07
68,التوصيل كان سريعًا، ولكن المنتج لم يكن كما توقعت.,Amazon,2024-03-08
69,أحببت جودة التصميم، تستحق كل قرش!,Instagram,2024-03-09
70,دعم العملاء كان ممتازًا وسريع الاستجابة.,Amazon,2024-03-10
71,أسوأ تجربة مررت بها، لن أكررها أبدًا.,YouTube,2024-03-11
72,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,Facebook,2024-03-12
73,أحببت جودة التصميم، تستحق كل قرش!,Facebook,2024-03-13
74,التجربة كانت عادية، لا شيء مميز.,Facebook,2024-03-14
75,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Instagram,2024-03-15
76,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,YouTube,2024-03-16
77,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,Instagram,2024-03-17
78,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Twitter,2024-03-18
79,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,YouTube,2024-03-19
80,أحببت جودة التصميم، تستحق كل قرش!,Facebook,2024-03-20
81,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Twitter,2024-03-21
82,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Instagram,2024-03-22
83,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Amazon,2024-03-23
84,التجربة كانت عادية، لا شيء مميز.,Twitter,2024-03-24
85,أحببت جودة التصميم، تستحق كل قرش!,Instagram,2024-03-25
86,هذا أفضل منتج استخدمته على الإطلاق!,Twitter,2024-03-26
87,دعم العملاء كان ممتازًا وسريع الاستجابة.,YouTube,2024-03-27
88,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,YouTube,2024-03-28
89,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Instagram,2024-03-29
90,أحببت جودة التصميم، تستحق كل قرش!,Facebook,2024-03-30
91,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Twitter,2024-03-31
92,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Twitter,2024-04-01
93,أحببت جودة التصميم، تستحق كل قرش!,Amazon,2024-04-02
94,أحببت جودة التصميم، تستحق كل قرش!,Twitter,2024-04-03
95,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Instagram,2024-04-04
96,دعم العملاء كان ممتازًا وسريع الاستجابة.,Amazon,2024-04-05
97,هذا أفضل منتج استخدمته على الإطلاق!,Facebook,2024-04-06
98,دعم العملاء كان ممتازًا وسريع الاستجابة.,Facebook,2024-04-07
99,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Twitter,2024-04-08
100,هذا أفضل منتج استخدمته على الإطلاق!,Facebook,2024-04-09
101,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,Facebook,2024-04-10
102,هذا أفضل منتج استخدمته على الإطلاق!,Amazon,2024-04-11
103,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,YouTube,2024-04-12
104,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Facebook,2024-04-13
105,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Instagram,2024-04-14
106,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Facebook,2024-04-15
107,دعم العملاء كان ممتازًا وسريع الاستجابة.,Facebook,2024-04-16
108,التجربة كانت عادية، لا شيء مميز.,Instagram,2024-04-17
109,التوصيل كان سريعًا، ولكن المنتج لم يكن كما توقعت.,Twitter,2024-04-18
110,هذا أفضل منتج استخدمته على الإطلاق!,Twitter,2024-04-19
111,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Amazon,2024-04-20
112,دعم العملاء كان ممتازًا وسريع الاستجابة.,Amazon,2024-04-21
113,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Amazon,2024-04-22
114,أحببت جودة التصميم، تستحق كل قرش!,Facebook,2024-04-23
115,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Amazon,2024-04-24
116,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,YouTube,2024-04-25
117,دعم العملاء كان ممتازًا وسريع الاستجابة.,Twitter,2024-04-26
118,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,Amazon,2024-04-27
119,دعم العملاء كان ممتازًا وسريع الاستجابة.,Amazon,2024-04-28
120,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Amazon,2024-04-29
121,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Twitter,2024-04-30
122,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Twitter,2024-05-01
123,التجربة كانت عادية، لا شيء مميز.,YouTube,2024-05-02
124,التجربة لم تكن مرضية، كنت أتوقع الأفضل.,YouTube,2024-05-03
125,لم يكن التطبيق سهل الاستخدام، يحتاج إلى تحسينات.,YouTube,2024-05-04
126,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Facebook,2024-05-05
127,أسوأ تجربة مررت بها، لن أكررها أبدًا.,Amazon,2024-05-06
128,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Facebook,2024-05-07
129,هذا أفضل منتج استخدمته على الإطلاق!,Twitter,2024-05-08
