review_description,rating
ليه مفيش لقطه الشاشه عشان اخد الايصال لما ادفع لحد عشان احاسبه لازم تحلو موضع لقطه الشاشه,positive
حلووو بس اغلب التوصيلات تتاخر والحلو ان المطاعم الموجوده بقربك تظهر في البرنامج,positive
انا احبه وايد يساعدني اذا ماعندي كاش اطلب من كنت بس الحين اشفي قام يخورها ما قام يصير الكتت ليش تطلع لي صفحه بيضه,positive
لي تطبيق زي دا يكون محدود بس ع الناس ال خطهم we 😭,positive
ممتاز . بس لو يشيلون الفايد 500 فلس أو اسمه تبرع . يخلونه اختياري مو جباري يضيف علي المبلغ 🤔,positive
مكان انتظار العملاء  لا بأس به ..خدمة ومساعدة وتوجيه متوسط الي جيد,positive
جيد جدا يرجى توسيع الطلبات لدى المطاعم وتخفيض تكلفة التوصيل,positive
موقع وايد حلو بس يبيله اهتمام شوي بتوصيل و يكون في حرص,positive
برنامج زباله كل ماابحث عن شيى لايوجد حتي السكر والزيت وخلافه والمتاجر والماركت لا يوجد لا انصح بتحميله وكمان النجوم اجباري,positive
"التطبيق يعطيك افضل و اللذ المطاعم و الاكل يكون حار وكل المطاعم التي احبهن 
موجودات يستاهل هذا التطبيق ١٠٠ نجمة",positive
سهل ومواكب ل عصرنا اتمنى له الاستمرار بهذا الشكل وأكثر ..,positive
"الصراحه انا من مستخدمي طلباتي من الامارات العربية المتحده بشكل مستمر يستاهل 
5000000 نجمه اهم شي المصداقية والوضوح وموجدين في هلبرنامج رائعين جدا",positive
البرنامج مش عايز يشتغل بيطلب باسورد ولما ادخلة يقول غلط اعمل ايه,positive
التطببييق ججمممميل ويوصل بسرعه الي يقول يتأخر اوصف البيت زيين وشكرا,positive
مميز لتشكيلة المطاعم وفي اوقات الواحد بيكون جيعان اوعنده ضيوف ومافي احد يجيب بيخدمنا شكرا برنامج طلبات,positive
تطبيق جدا جميل طلبت منه تقريبا 5 مرات والطلب ما يتأخر ويجي كامل وحار وانا من اهل جدة طبعا,positive
برنامج جميل جدا .. يجعل مجموعة كبيرة جدا من المطاعم بين يديك,positive
هل يوجد خط من ش العشرين فيصل إلى المطار....لانى مش فاهم البرنامج,positive
"جاري التجربه واتمني ان يتم القضاء على المنتجات المقلده وان يتم القبض على 
اصحاب المصانع المزيفه ومعاقبتهم اشد وأسوء الاحكام حتي يكونوا عظه",positive
التحديث الجديد جميل جدا بحيث انك تستطيع الاختيار واريحيه... شكرا,positive
جربت غيره و فضلته لعدة أسباب تطبيق مرتب وسهل و دقة توقيت .. بالتوفيق,positive
يمكن انا من اول الناس الي اشتغلت على هالبرنامج صدقا صدقا برنامج ولا احسن ولا أفضل بالسرعة باقي عليه يضيف شوية مطاعم ✌✌,positive
حنا يجي  بصرعه قولو ماشاء الله و فيه كل المطاعم,positive
يرجى وضع تتبع الطلب لباقي المطاعم لان اكثر من مره يكونون حاطين وقت معين لوصول الطلب ويتاخر اكثر من الازم,positive
بس يريت الطلب يوصل بعد 30 دقيق احسن من 60 دقيقه,positive
ممتاز ورائع برنامج يكفيك عن كل شيء اطلب وانت مرتاح مهمتهم تنتهي عند تنفيذ طلبك شكراً طلباتي وفرتوا علينا الوقت والجهد محمدالرشيدي بوعبدالله,positive
لم اجربه بعد واتمنى ان يكون له خط سير ل ابوالوفا الحى السادس مع خالص تحياتي,positive
تطبيق ممتاز جدا ومفيد.. اتمنى إضافة المزيد من محلات التسوق بالإضافة للمطاعم في ولاية صور / سلطنة عمان,positive
اكثر من ممتاز ويعطيكم العافيه واتمنى يكون فيه تنبيه عالمطاعم من ناحية وقت التوصيل واللتزام فيه,positive
رااائع بس ياريت الفاوشر تشمل مطاعم اكبر واكثر داخل المنيا,positive
جيد جدان ويسعاد عطيت اربع نجوم الانه خدمت توصيل تطول ولاكن لو حلو مشكله عطيه اربع نجوم,positive
الصراحه يعطيكم الف عافيه خوش ابلكيشن والمطاعم الي متعاونين معاها عجيبه,positive
البرنامج جميل بس ياريت إضافة الشحن لكل الشبكات ودفع الفواتير لأى شئ مو فواتير معينه بدنا التطبيق يشتغل على نطاق واسع مو محدود,positive
خدمتهم مرره حلوة و مشكورين ،، و اهم شي السرعه بالتوصل,positive
نصيحه لكل الناس صغر حجم الخط من اعدادات الهاتف هتظهر الرساله كامله وتدوس موافق هيشتغل التطبيق يكرمكم الجنه,positive
البرنامج حلو بس ارجو انو بدون نت يمكن بره وما عندنه نت ونبي نطلب,positive
من اخترع هذا التطبيق فانة سيربح الناس لاختيار المطعم الذي يحب  سريع للمجىء,positive
تطبيق سهل الاستخدام، الدفع نقدي و اون لاين، طلبات العميل الخاصة تؤخذ بعين الاعتبار، جميل جداً 👌,positive
سريع التوصيل واشكر امه والله ياكنت جيعان وصلني الطلب مثل ماابي شكر,positive
برنامج رااائع لتوصيل الطلبات بسهوله من غير دفع رصيد زائد ههههههه nice !!,positive
رائع جدا جدا جدا جدا جدا والتوصيل سريع وخدمه التوصيل كويسه مابيتاخرو ع الطلب,positive
انا دائما مسافر علي خط القاهره الاسكندريه الصحراوي وبجد شركة وكابتن محترمين ولكن عايزين خطوط أكثر في وجه بحري,positive
ممتاز جدا وشركه عالميه وكل منتجاتها جوده عاليه واصليه واسعار جميله,positive
التطبيق جدا روعه سهل في طلب الطلب وسرعة انجاب الطلب سريعه وكل التوفيق لمن ساهم في عمل هذا التطبيق,positive
احلى برنامج طلبات سريعين واحب التقيمات واحب العروض واحب سرعة الرد والتطوير ❤️‍🔥💖🤩🥰💝,positive
يستاهل 5 نجوم ❤❤مو شرط حساب يجيك تحت طلب بدون تسجيل دخول وتحط رقم  جوالك 😎😎وبس,positive
ممتاز ولكن يوجد تأخير في التوصيل احيانا اكثر من الوقت المحدد واحسانا تغيير في صنف واحد من الطلبات,positive
هو في خصم ٥٠% ع رحلات القاهرة إسكندرية وازاي احصل عليه,positive
الموقع جداااا جمييل جداا مافي احسن منه و سريعين في التوصيل,positive
بصراحة ممتاز ومزيد من التقدم بس رحلات يوم الجمعة لم اجد ميعاد يناسب وقت الامتحان بجامعة مصر للعلوم والتكنولوجيا ب 6 اكتوبر,positive
التطبيق ممتاز ممتاز ممتاز في الكويت ولكن باقي الدول لا اعلم,positive
تطبيق مفيد ورائع لطلب الوجبات من المطاعم.. في الكويت مجرب ومضمون 👍,positive
سمعت عنه انه تطبيق جدا رائع من بنتى رنا اشرف الجراح,positive
ممتاز،، لاكن يبي له زيادة عدد المطاعم و ترتيبها  في مناطقها اكثر، ، بالتوفيق,positive
هل ممكن احجز في الباص لاكتر من شخص ؟ ولا شرط حجز الرحلة لشخص واحد من تليفونه الخاص؟,positive
دلوقتي لسه في الخصم على اول اوردر ولو في كام ارجو الرد,positive
رائع ولكن يا ليت كان في مصر اتمنى ان تصل تلك الرسالة للمطورين للبرنامج,positive
هيا هيا غنو معي يا الله يا الله غنو معي,positive
مفيش رقم للتواصل مع خدمة العملاء لمعرفة كيفية يتم الحجز ممكن الرد السريع,positive
مجربه 6 اشهر ومضمون وسريع جدا في ٢٠ دقيقه كل طلب يوصل,positive
ممتاز جدا للطلبات اتمنى ارسال كودات خصم للمشترين بشكل مستمر,positive
لانة رائع جدا جدا جدا جدا جدا  أعجبني جدا جدا جدا جدا جدا,positive
البرنامج جيد ويحترم الزبون لكن لو تضيفوا خاصية المفضلة للمطاعم بتساعدنا نختار المطعم اسرع وشكرا,positive
احسن فكره شفتها بدال ماادفع حق الاكل وبنزين السيارة وفرت 😂😂,positive
صراحه سمعت كلام عن طلبات بس الكلام يروح ويرد ويي بسرعة اقل من ساعة,positive
تطبيق جاامد فشخولا لو في اكتر من ٥نجوم🌻 كنت حطيت😍😍😍,positive
للامانه ازين وتفاعله اكثر موب زي هنقرستيشن يمكن علشان الناس عليه مومره زحمه بس مايسحب عليك نفس الوقت اللي يكتبه يجيبه 😍,positive
انا وعيلتي طلبنا كم مرة مريح وموثوق فيه بس على التوصيل 5 ريال بس شئ جمييييييل,positive
كشركه للانشاء كويسه جدا لكن الاداره الداخليه في اغلب الشركات الباقيه ماشيه مجاملات ومفيش تعاون بين الادارات,positive
قدمتم تقدما رائع ولاكن نريد عروضا أقوى وتخفيضات ساحقه ولو كانت مسابقات وسحب كوبونات افضل,positive
شغل مرررتب وافضله على كثير من التطبيقات المنافسه بسبب اشتماله على الكثير من المطاعم,positive
استغنيت عن السواق بنسبة 80% عن ارساله لشراء الطعام اتمنى ان تغطي منطقتي جميع مطاعم جدة كدا كدا ما اعتقد المشوار لابعد منطقة تاخذ ساعة,positive
كويسه الى حدا ما وياريت ادخال كل فيز البنوك وليس بنك مصر فقط,positive
"برنامج روعه وجيد جدا وطلابات سريعه واكلات من كل بلد والطعام بشهي وزاكي كثير 
وشكرا لكم...... 😍😍😍😍😍😇😇😍😍😍😍",positive
ممتاز جدا ولكن اتمنى ان تكون هناك بعض المسابقات والجوائز مثل طلبات السعودية فسوف يكون هناك مستخدمين اكثر و افضل,positive
تطبيق من أفضل التطبيقات وبل الوحيد والأفضل بالتوصيل للطعام تطبيق اكثر من رائع مصداقية وشفافية واتمنى كل تقدم والازدهار لهذا التطبيق وشكرا,positive
أفضل تطبيق استخدمته للتوصيل.. رغم اني تقريبا جربت جميع التطبيقات المشابهة.. لكن يبقى طلبات تطبيق مميز وعلامة فارقة لن تتكرر رغم التقليد,positive
والله ما في خيار تاني بس صراحة مرة صارت حادثة واشتكيت ولا اخدت حقي بس شو نسوي مش مستاهلة ولكن لا بأس به,positive
اليوم طلبت نفس الطلب اكثر من ١٠ مرات وكل مره يخصمو مني 98 ريال وما وصل الطلب ارجو تصليح العطل+ لا اريد المال حلال عليكم,positive
التطبيق ممتاز..... بس بعض المطاعم ما بعطي الطلب حقة لا استوه ولا ملح يمكن بتعتمد أن الزبون مش قدمهم,positive
ما شاء الله تطبيق ممتاز وصادق وانصح الجميع بتحميله ومتميز بسرعة التوصيل ورخص الثمن وانطيه 1000 نجمة ❤️❤️❤️🙏,positive
صراحه ينقذني لما أحتار بالاكل وايد مفيد هالتطبيق وفر علينا وايد,positive
انا احببت فكرة للتطبيق لكن لو هناك بعض البلدان الاخرى مثل الجزائر ارجو الرد,positive
بعد سنة بالكتير ،، سويفل رح يكتسح السوق و بقوة,positive
البرنامج عجيب بس معظم الناس الي محملين البرنامج تواجهنه مشكلة وهي( أن اد بنطلب يتاخر),positive
بس عندي سوال ليش ماكدونالدز مو موجود في قائمة المطاعم,positive
مرررا ككويسس لازم كل يوم يومين اططلب منه اهنيككم صراححه 🙂,positive
الباص ممتاز والسائق منتهى الأدب ونحن متشكرين جدا على حسن المعاملة,positive
تطبيق جامد جدا بس مشكلتو واحدي خدمة عمللء تحسين خدمة تابا حاجة روع,positive
الموقع ممتاز انصح بتحميله لان وفر علينا مشقة البحث عن المطعم والطعام المناسب دون الحاجة للجوء الى قائمات الطعام الورقية,positive
ممتاز بس مكتوب التوصيل مجاني ليه تاخذون رسوم عليه يعني نصب الشغله,positive
الحقيقة التطبيق ممتاز وواضح ان وراءه ناس راقية جدا ولها فكر رائع,positive
Not cool Very not good Hahahahahahahahahahahah no one CE I hat it 😂😂😂😂😊😊😊😊😊 bla bla bla bla,positive
