user_id,text,platform,date
1,هذا أفضل منتج استخدمته على الإطلاق!,Twitter,2024-02-01
2,لم يعجبني هذا الهاتف، بطاريته ضعيفة جدًا.,Facebook,2024-02-02
3,التجربة كانت عادية، لا شيء مميز.,Instagram,2024-02-03
4,الخدمة في المطعم كانت رائعة جدًا، سأعود مرة أخرى!,Amazon,2024-02-04
5,أسوأ تجربة مررت بها، لن أكررها أبدًا.,YouTube,2024-02-05
6,الشحن كان سريعًا جدًا، والمنتج مطابق للوصف.,Telegram,2024-02-06
7,الفيلم كان ممتعًا ولكن النهاية لم تكن جيدة.,eBay,2024-02-07
8,الملابس ذات جودة رديئة، لا أنصح بشرائها.,TripAdvisor,2024-02-08
9,الدعم الفني كان متعاونًا وسريع الاستجابة.,Booking,2024-02-09
10,الألوان في الصورة لم تكن واضحة كما توقعت.,Twitter,2024-02-10
11,التطبيق يتوقف عن العمل بشكل متكرر.,Facebook,2024-02-11
12,المكان كان هادئًا ومناسبًا للاسترخاء.,Instagram,2024-02-12
13,المكيف لا يعمل جيدًا، والحرارة مرتفعة جدًا.,Amazon,2024-02-13
14,لم أكن متأكدًا من الجودة ولكنها كانت جيدة بالفعل.,YouTube,2024-02-14
15,كانت الرحلة مذهلة، كل شيء كان منظمًا بشكل رائع!,Telegram,2024-02-15
16,الطعام كان سيئًا جدًا، لم أستطع أكله.,eBay,2024-02-16
17,الخدمة كانت بطيئة بعض الشيء، لكنها ليست سيئة.,TripAdvisor,2024-02-17
18,أحببت الهاتف الجديد، يعمل بسلاسة وكاميرته رائعة.,Booking,2024-02-18
19,واجهت العديد من المشاكل مع هذا الجهاز.,Twitter,2024-02-19
20,التجربة كانت مختلفة ولكنها ليست سيئة.,Facebook,2024-02-20
21,السيارة مريحة جدًا واقتصادية في الوقود.,Instagram,2024-02-21
22,الكتاب كان مملًا ولم أستطع إنهاءه.,Amazon,2024-02-22
23,كانت الواجهة صعبة الاستخدام ولكنني اعتدت عليها لاحقًا.,YouTube,2024-02-23
24,المنتج فاق توقعاتي بكثير، رائع جدًا!,Telegram,2024-02-24
25,لا أنصح بهذا المكان، الخدمة كانت سيئة.,eBay,2024-02-25
26,كان الطقس جميلًا، استمتعنا بالمشي في الحديقة.,TripAdvisor,2024-02-26
27,التطبيق لا يوفر جميع الميزات التي وعد بها.,Booking,2024-02-27
